ticker,year_month,volatility
AAPL,2025-03,0.019589
AAPL,2025-04,0.048509
AAPL,2025-05,0.020645
AAPL,2025-06,0.011225
AAPL,2025-07,0.008858
AAPL,2025-08,0.018264
AAPL,2025-09,0.017685
AAPL,2025-10,0.014392
AAPL,2025-11,0.009352
AAPL,2025-12,0.007295
AAPL,2026-01,0.012096
AAPL,2026-02,0.021364
AAPL,2026-03,0.010155
AMZN,2025-03,0.020651
AMZN,2025-04,0.041368
AMZN,2025-05,0.021941
AMZN,2025-06,0.014523
AMZN,2025-07,0.009762
AMZN,2025-08,0.024167
AMZN,2025-09,0.016596
AMZN,2025-10,0.026482
AMZN,2025-11,0.020977
AMZN,2025-12,0.010335
AMZN,2026-01,0.017199
AMZN,2026-02,0.021098
AMZN,2026-03,0.019602
TSLA,2025-03,0.060361
TSLA,2025-04,0.069095
TSLA,2025-05,0.030642
TSLA,2025-06,0.044834
TSLA,2025-07,0.034159
TSLA,2025-08,0.022692
TSLA,2025-09,0.027716
TSLA,2025-10,0.032817
TSLA,2025-11,0.032352
TSLA,2025-12,0.023148
TSLA,2026-01,0.023837
TSLA,2026-02,0.019714
TSLA,2026-03,0.022183
